Category,Subcategory,Type,Country,Value
COPD†,Direct medical cost (millions $),Percentage,Brazil,71.0
COPD†,Direct medical cost (millions $),Attributed,Chile,495.6
COPD†,Direct medical cost (millions $),Total,Chile,612.7
COPD†,Direct medical cost (millions $),Percentage,Chile,81.0
COPD†,Direct medical cost (millions $),Attributed,Colombia,405.1
COPD†,Direct medical cost (millions $),Total,Colombia,531.6
COPD†,Direct medical cost (millions $),Percentage,Colombia,76.0
COPD†,Direct medical cost (millions $),Attributed,Costa Rica,40.2
COPD†,Direct medical cost (millions $),Total,Costa Rica,63.2
COPD†,Direct medical cost (millions $),Percentage,Costa Rica,64.0
COPD†,Direct medical cost (millions $),Attributed,Ecuador,206.0
COPD†,Direct medical cost (millions $),Total,Ecuador,270.8
COPD†,Direct medical cost (millions $),Percentage,Ecuador,74.0
COPD†,Direct medical cost (millions $),Attributed,Honduras,13.5
COPD†,Direct medical cost (millions $),Total,Honduras,21.8
COPD†,Direct medical cost (millions $),Percentage,Honduras,62.0
COPD†,Direct medical cost (millions $),Attributed,Mexico,1617.7
COPD†,Direct medical cost (millions $),Total,Mexico,2364.7
COPD†,Direct medical cost (millions $),Percentage,Mexico,68.0
COPD†,Direct medical cost (millions $),Attributed,Paraguay,84.5
COPD†,Direct medical cost (millions $),Total,Paraguay,114.5
COPD†,Direct medical cost (millions $),Percentage,Paraguay,84.0
COPD†,Direct medical cost (millions $),Attributed,Peru,234.9
COPD†,Direct medical cost (millions $),Total,Peru,305.3
COPD†,Direct medical cost (millions $),Percentage,Peru,77.0
COPD†,Direct medical cost (millions $),Attributed,Uruguay,136.3
COPD†,Direct medical cost (millions $),Total,Uruguay,180.3
COPD†,Direct medical cost (millions $),Percentage,Uruguay,85.0
COPD†,Direct medical cost (millions $),Attributed,Total,8640.0
COPD†,Direct medical cost (millions $),Total,Total,12028.9
COPD†,Direct medical cost (millions $),Percentage,Total,72.0
Lung cancer†,Deaths,Attributed,Argentina,9416.0
Lung cancer†,Deaths,Total,Argentina,11488.0
Lung cancer†,Deaths,Percentage,Argentina,82.0
Lung cancer†,Deaths,Attributed,Bolivia,292.0
Lung cancer†,Deaths,Total,Bolivia,378.0
Lung cancer†,Deaths,Percentage,Bolivia,77.0
Lung cancer†,Deaths,Attributed,Brazil,23762.0
Lung cancer†,Deaths,Total,Brazil,30519.0
Lung cancer†,Deaths,Percentage,Brazil,78.0
Lung cancer†,Deaths,Attributed,Chile,2774.0
Lung cancer†,Deaths,Total,Chile,3212.0
Lung cancer†,Deaths,Percentage,Chile,86.0
Lung cancer†,Deaths,Attributed,Colombia,4401.0
Lung cancer†,Deaths,Total,Colombia,5483.0
Lung cancer†,Deaths,Percentage,Colombia,80.0
Lung cancer†,Deaths,Attributed,Costa Rica,188.0
Lung cancer†,Deaths,Total,Costa Rica,263.0
Lung cancer†,Deaths,Percentage,Costa Rica,71.0
Lung cancer†,Deaths,Attributed,Ecuador,859.0
Lung cancer†,Deaths,Total,Ecuador,1159.0
Lung cancer†,Deaths,Percentage,Ecuador,74.0
Lung cancer†,Deaths,Attributed,Honduras,205.0
Lung cancer†,Deaths,Total,Honduras,329.0
Lung cancer†,Deaths,Percentage,Honduras,62.0
Lung cancer†,Deaths,Attributed,Mexico,5838.0
Lung cancer†,Deaths,Total,Mexico,8007.0
Lung cancer†,Deaths,Percentage,Mexico,73.0
Lung cancer†,Deaths,Attributed,Paraguay,607.0
Lung cancer†,Deaths,Total,Paraguay,728.0
Lung cancer†,Deaths,Percentage,Paraguay,83.0
Lung cancer†,Deaths,Attributed,Peru,1889.0
Lung cancer†,Deaths,Total,Peru,2350.0
Lung cancer†,Deaths,Percentage,Peru,80.0
Lung cancer†,Deaths,Attributed,Uruguay,1183.0
Lung cancer†,Deaths,Total,Uruguay,1389.0
Lung cancer†,Deaths,Percentage,Uruguay,85.0
Lung cancer†,Deaths,Attributed,Total,51414.0
Lung cancer†,Deaths,Total,Total,65306.0
Lung cancer†,Deaths,Percentage,Total,79.0
Lung cancer†,Incidence,Attributed,Argentina,10876.0
Lung cancer†,Incidence,Total,Argentina,13256.0
Lung cancer†,Incidence,Percentage,Argentina,82.0
Lung cancer†,Incidence,Attributed,Bolivia,313.0
Lung cancer†,Incidence,Total,Bolivia,405.0
Lung cancer†,Incidence,Percentage,Bolivia,77.0
Lung cancer†,Incidence,Attributed,Brazil,26850.0
Lung cancer†,Incidence,Total,Brazil,34313.0
Lung cancer†,Incidence,Percentage,Brazil,78.0
Lung cancer†,Incidence,Attributed,Chile,3026.0
Lung cancer†,Incidence,Total,Chile,3515.0
Lung cancer†,Incidence,Percentage,Chile,86.0
Lung cancer†,Incidence,Attributed,Colombia,4723.0
Lung cancer†,Incidence,Total,Colombia,5869.0
Lung cancer†,Incidence,Percentage,Colombia,80.0
Lung cancer†,Incidence,Attributed,Costa Rica,269.0
Lung cancer†,Incidence,Total,Costa Rica,384.0
Lung cancer†,Incidence,Percentage,Costa Rica,70.0
Lung cancer†,Incidence,Attributed,Ecuador,887.0
Lung cancer†,Incidence,Total,Ecuador,1196.0
Lung cancer†,Incidence,Percentage,Ecuador,74.0
Lung cancer†,Incidence,Attributed,Honduras,228.0
Lung cancer†,Incidence,Total,Honduras,366.0
Lung cancer†,Incidence,Percentage,Honduras,62.0
Lung cancer†,Incidence,Attributed,Mexico,6375.0
Lung cancer†,Incidence,Total,Mexico,8733.0
Lung cancer†,Incidence,Percentage,Mexico,73.0
Lung cancer†,Incidence,Attributed,Paraguay,644.0
Lung cancer†,Incidence,Total,Paraguay,772.0
Lung cancer†,Incidence,Percentage,Paraguay,83.0
Lung cancer†,Incidence,Attributed,Peru,2031.0
Lung cancer†,Incidence,Total,Peru,2524.0
Lung cancer†,Incidence,Percentage,Peru,80.0
Lung cancer†,Incidence,Attributed,Uruguay,1285.0
Lung cancer†,Incidence,Total,Uruguay,1511.0
Lung cancer†,Incidence,Percentage,Uruguay,85.0
Lung cancer†,Incidence,Attributed,Total,57507.0
Lung cancer†,Incidence,Total,Total,72845.0
Lung cancer†,Incidence,Percentage,Total,79.0
Lung cancer†,Direct medical cost (millions $),Attributed,Argentina,770.0
Lung cancer†,Direct medical cost (millions $),Total,Argentina,937.1
Lung cancer†,Direct medical cost (millions $),Percentage,Argentina,82.0
Lung cancer†,Direct medical cost (millions $),Attributed,Bolivia,8.9
Lung cancer†,Direct medical cost (millions $),Total,Bolivia,11.5
Lung cancer†,Direct medical cost (millions $),Percentage,Bolivia,78.0
Lung cancer†,Direct medical cost (millions $),Attributed,Brazil,686.3
Lung cancer†,Direct medical cost (millions $),Total,Brazil,871.2
Lung cancer†,Direct medical cost (millions $),Percentage,Brazil,79.0
Lung cancer†,Direct medical cost (millions $),Attributed,Chile,218.9
Lung cancer†,Direct medical cost (millions $),Total,Chile,256.0
Lung cancer†,Direct medical cost (millions $),Percentage,Chile,86.0
Lung cancer†,Direct medical cost (millions $),Attributed,Colombia,146.2
Lung cancer†,Direct medical cost (millions $),Total,Colombia,180.5
Lung cancer†,Direct medical cost (millions $),Percentage,Colombia,81.0
Lung cancer†,Direct medical cost (millions $),Attributed,Costa Rica,25.3
Lung cancer†,Direct medical cost (millions $),Total,Costa Rica,36.2
Lung cancer†,Direct medical cost (millions $),Percentage,Costa Rica,70.0
Lung cancer†,Direct medical cost (millions $),Attributed,Ecuador,38.0
Lung cancer†,Direct medical cost (millions $),Total,Ecuador,51.7
Lung cancer†,Direct medical cost (millions $),Percentage,Ecuador,76.0
Lung cancer†,Direct medical cost (millions $),Attributed,Honduras,4.2
Lung cancer†,Direct medical cost (millions $),Total,Honduras,6.8
Lung cancer†,Direct medical cost (millions $),Percentage,Honduras,62.0
Lung cancer†,Direct medical cost (millions $),Attributed,Mexico,303.0
Lung cancer†,Direct medical cost (millions $),Total,Mexico,414.4
Lung cancer†,Direct medical cost (millions $),Percentage,Mexico,73.0
Lung cancer†,Direct medical cost (millions $),Attributed,Paraguay,17.3
Lung cancer†,Direct medical cost (millions $),Total,Paraguay,20.8
Lung cancer†,Direct medical cost (millions $),Percentage,Paraguay,74.0
Lung cancer†,Direct medical cost (millions $),Attributed,Peru,97.4
Lung cancer†,Direct medical cost (millions $),Total,Peru,121.0
Lung cancer†,Direct medical cost (millions $),Percentage,Peru,81.0
Lung cancer†,Direct medical cost (millions $),Attributed,Uruguay,155.7
Lung cancer†,Direct medical cost (millions $),Total,Uruguay,177.3
Lung cancer†,Direct medical cost (millions $),Percentage,Uruguay,73.0
Lung cancer†,Direct medical cost (millions $),Attributed,Total,2471.3
Lung cancer†,Direct medical cost (millions $),Total,Total,3084.5
Lung cancer†,Direct medical cost (millions $),Percentage,Total,80.0
Other cancers†,Deaths,Attributed,Argentina,6815.0
Other cancers†,Deaths,Total,Argentina,21689.0
Other cancers†,Deaths,Percentage,Argentina,31.0
Other cancers†,Deaths,Attributed,Bolivia,516.0
Other cancers†,Deaths,Total,Bolivia,2574.0
Other cancers†,Deaths,Percentage,Bolivia,20.0
Other cancers†,Deaths,Attributed,Brazil,26651.0
Other cancers†,Deaths,Total,Brazil,79405.0
Other cancers†,Deaths,Percentage,Brazil,33.0
Other cancers†,Deaths,Attributed,Chile,3388.0
Other cancers†,Deaths,Total,Chile,9842.0
Other cancers†,Deaths,Percentage,Chile,34.0
Other cancers†,Deaths,Attributed,Colombia,4511.0
Other cancers†,Deaths,Total,Colombia,16769.0
Other cancers†,Deaths,Percentage,Colombia,27.0
Other cancers†,Deaths,Attributed,Costa Rica,296.0
Other cancers†,Deaths,Total,Costa Rica,1420.0
Other cancers†,Deaths,Percentage,Costa Rica,21.0
Other cancers†,Deaths,Attributed,Ecuador,1261.0
Other cancers†,Deaths,Total,Ecuador,5456.0
Other cancers†,Deaths,Percentage,Ecuador,23.0
Other cancers†,Deaths,Attributed,Honduras,287.0
Other cancers†,Deaths,Total,Honduras,1833.0
Other cancers†,Deaths,Percentage,Honduras,16.0
Other cancers†,Deaths,Attributed,Mexico,5931.0
Other cancers†,Deaths,Total,Mexico,28206.0
Other cancers†,Deaths,Percentage,Mexico,21.0
Other cancers†,Deaths,Attributed,Paraguay,484.0
Other cancers†,Deaths,Total,Paraguay,1669.0
Other cancers†,Deaths,Percentage,Paraguay,29.0
Other cancers†,Deaths,Attributed,Peru,2204.0
Other cancers†,Deaths,Total,Peru,9253.0
Other cancers†,Deaths,Percentage,Peru,24.0
Other cancers†,Deaths,Attributed,Uruguay,940.0
Other cancers†,Deaths,Total,Uruguay,2572.0
Other cancers†,Deaths,Percentage,Uruguay,36.0
Other cancers†,Deaths,Attributed,Total,53284.0
Other cancers†,Deaths,Total,Total,180688.0
Other cancers†,Deaths,Percentage,Total,29.0
Other cancers†,Incidence,Attributed,Argentina,11961.0
Other cancers†,Incidence,Total,Argentina,36993.0
Other cancers†,Incidence,Percentage,Argentina,32.0
Other cancers†,Incidence,Attributed,Bolivia,1003.0
Other cancers†,Incidence,Total,Bolivia,4631.0
Other cancers†,Incidence,Percentage,Bolivia,21.0
Other cancers†,Incidence,Attributed,Brazil,46650.0
Other cancers†,Incidence,Total,Brazil,134242.0
Other cancers†,Incidence,Percentage,Brazil,35.0
Other cancers†,Incidence,Attributed,Chile,4986.0
Other cancers†,Incidence,Total,Chile,14328.0
Other cancers†,Incidence,Percentage,Chile,35.0
Other cancers†,Incidence,Attributed,Colombia,7790.0
Other cancers†,Incidence,Total,Colombia,27723.0
Other cancers†,Incidence,Percentage,Colombia,28.0
Other cancers†,Incidence,Attributed,Costa Rica,486.0
Other cancers†,Incidence,Total,Costa Rica,2290.0
Other cancers†,Incidence,Percentage,Costa Rica,21.0
Other cancers†,Incidence,Attributed,Ecuador,1832.0
Other cancers†,Incidence,Total,Ecuador,7736.0
Other cancers†,Incidence,Percentage,Ecuador,24.0
Other cancers†,Incidence,Attributed,Honduras,414.0
Other cancers†,Incidence,Total,Honduras,2604.0
Other cancers†,Incidence,Percentage,Honduras,16.0
Other cancers†,Incidence,Attributed,Mexico,11461.0
Other cancers†,Incidence,Total,Mexico,50628.0
Other cancers†,Incidence,Percentage,Mexico,22.0
Other cancers†,Incidence,Attributed,Paraguay,766.0
Other cancers†,Incidence,Total,Paraguay,2585.0
Other cancers†,Incidence,Percentage,Paraguay,30.0
Other cancers†,Incidence,Attributed,Peru,3385.0
Other cancers†,Incidence,Total,Peru,14921.0
Other cancers†,Incidence,Percentage,Peru,22.0
Other cancers†,Incidence,Attributed,Uruguay,1314.0
Other cancers†,Incidence,Total,Uruguay,3676.0
Other cancers†,Incidence,Percentage,Uruguay,36.0
Other cancers†,Incidence,Attributed,Total,92048.0
Other cancers†,Incidence,Total,Total,302359.0
Other cancers†,Incidence,Percentage,Total,30.0
Other cancers†,Direct medical cost (millions $),Attributed,Argentina,658.4
Other cancers†,Direct medical cost (millions $),Total,Argentina,1932.0
Other cancers†,Direct medical cost (millions $),Percentage,Argentina,32.0
Other cancers†,Direct medical cost (millions $),Attributed,Bolivia,24.7
Other cancers†,Direct medical cost (millions $),Total,Bolivia,115.8
Other cancers†,Direct medical cost (millions $),Percentage,Bolivia,21.0
Other cancers†,Direct medical cost (millions $),Attributed,Brazil,1201.7
Other cancers†,Direct medical cost (millions $),Total,Brazil,3498.2
Other cancers†,Direct medical cost (millions $),Percentage,Brazil,35.0
Other cancers†,Direct medical cost (millions $),Attributed,Chile,283.0
Other cancers†,Direct medical cost (millions $),Total,Chile,846.8
Other cancers†,Direct medical cost (millions $),Percentage,Chile,37.0
Other cancers†,Direct medical cost (millions $),Attributed,Colombia,211.6
Other cancers†,Direct medical cost (millions $),Total,Colombia,783.8
Other cancers†,Direct medical cost (millions $),Percentage,Colombia,27.0
Other cancers†,Direct medical cost (millions $),Attributed,Costa Rica,40.2
Other cancers†,Direct medical cost (millions $),Total,Costa Rica,188.0
Other cancers†,Direct medical cost (millions $),Percentage,Costa Rica,21.0
Other cancers†,Direct medical cost (millions $),Attributed,Ecuador,64.0
Other cancers†,Direct medical cost (millions $),Total,Ecuador,271.5
Other cancers†,Direct medical cost (millions $),Percentage,Ecuador,25.0
Other cancers†,Direct medical cost (millions $),Attributed,Honduras,6.7
Other cancers†,Direct medical cost (millions $),Total,Honduras,42.6
Other cancers†,Direct medical cost (millions $),Percentage,Honduras,16.0
Other cancers†,Direct medical cost (millions $),Attributed,Mexico,472.6
Other cancers†,Direct medical cost (millions $),Total,Mexico,1837.0
Other cancers†,Direct medical cost (millions $),Percentage,Mexico,22.0
Other cancers†,Direct medical cost (millions $),Attributed,Paraguay,20.6
Other cancers†,Direct medical cost (millions $),Total,Paraguay,73.3
Other cancers†,Direct medical cost (millions $),Percentage,Paraguay,31.0
Other cancers†,Direct medical cost (millions $),Attributed,Peru,146.7
Other cancers†,Direct medical cost (millions $),Total,Peru,601.6
Other cancers†,Direct medical cost (millions $),Percentage,Peru,24.0
Other cancers†,Direct medical cost (millions $),Attributed,Uruguay,114.7
Other cancers†,Direct medical cost (millions $),Total,Uruguay,317.2
Other cancers†,Direct medical cost (millions $),Percentage,Uruguay,36.0
Other cancers†,Direct medical cost (millions $),Attributed,Total,3244.9
Other cancers†,Direct medical cost (millions $),Total,Total,10707.9
Other cancers†,Direct medical cost (millions $),Percentage,Total,30.0
